FILE,ALGO,TIME
colossal-sparse-nonnegative-undirected.graph,Floyd-Warshall,53.496771
colossal-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,11.832877
huge-sparse-nonnegative-undirected.graph,Floyd-Warshall,6.486557
huge-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,1.988813
tiny-sparse-nonnegative-undirected.graph,Floyd-Warshall,0.002768
tiny-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,0.005867
medium-sparse-nonnegative-undirected.graph,Floyd-Warshall,0.112367
medium-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,0.055038
small-sparse-nonnegative-undirected.graph,Floyd-Warshall,0.016909
small-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,0.017376
large-sparse-nonnegative-undirected.graph,Floyd-Warshall,6.560443
large-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,1.891133
large-dense-nonnegative-undirected.graph,Floyd-Warshall,0.831853
large-dense-nonnegative-undirected.graph,Johnson-Min-Heap,0.993173
small-dense-nonnegative-undirected.graph,Floyd-Warshall,0.013421
small-dense-nonnegative-undirected.graph,Johnson-Min-Heap,0.029129
tiny-dense-nonnegative-undirected.graph,Floyd-Warshall,0.002163
tiny-dense-nonnegative-undirected.graph,Johnson-Min-Heap,0.006869
huge-dense-nonnegative-undirected.graph,Floyd-Warshall,5.874759
huge-dense-nonnegative-undirected.graph,Johnson-Min-Heap,6.426843
medium-dense-nonnegative-undirected.graph,Floyd-Warshall,0.101617
medium-dense-nonnegative-undirected.graph,Johnson-Min-Heap,0.155501
colossal-dense-nonnegative-undirected.graph,Floyd-Warshall,68.838493
colossal-dense-nonnegative-undirected.graph,Johnson-Min-Heap,69.672257
